0, 0
1, 0
2, 1
3, 1
4, 2
5, 2
6, 3
7, 3
8, 4
9, 4
10, 5
11, 5
12, 6
13, 6
14, 7
15, 7
16, 8
17, 8
18, 9
19, 9
20, 10
21, 10
22, 11
23, 11
24, 12
25, 12
26, 13
27, 13
28, 14
29, 14
30, 15
31, 15
32, 16
33, 16
34, 17
35, 17
36, 18
37, 18
38, 19
39, 19
40, 20
41, 20
42, 21
43, 21
44, 22
45, 22
46, 23
47, 23
48, 24
49, 24
50, 25
51, 25
52, 26
53, 26
54, 27
55, 27
56, 28
57, 28
58, 29
59, 29
60, 30
61, 30
62, 31
63, 31
64, 32
65, 33
66, 35
67, 36
68, 38
69, 39
70, 41
71, 42
72, 44
73, 45
74, 47
75, 48
76, 50
77, 51
78, 53
79, 54
80, 56
81, 57
82, 59
83, 60
84, 62
85, 63
86, 65
87, 66
88, 68
89, 69
90, 71
91, 72
92, 74
93, 75
94, 77
95, 78
96, 80
97, 81
98, 83
99, 84
100, 86
101, 87
102, 89
103, 90
104, 92
105, 93
106, 95
107, 96
108, 98
109, 99
110, 101
111, 102
112, 104
113, 105
114, 107
115, 108
116, 110
117, 111
118, 113
119, 114
120, 116
121, 117
122, 119
123, 120
124, 122
125, 123
126, 125
127, 126
128, 128
129, 129
130, 131
131, 132
132, 134
133, 135
134, 137
135, 138
136, 140
137, 141
138, 143
139, 144
140, 146
141, 147
142, 149
143, 150
144, 152
145, 153
146, 155
147, 156
148, 158
149, 159
150, 161
151, 162
152, 164
153, 165
154, 167
155, 168
156, 170
157, 171
158, 173
159, 174
160, 176
161, 177
162, 179
163, 180
164, 182
165, 183
166, 185
167, 186
168, 188
169, 189
170, 191
171, 192
172, 194
173, 195
174, 197
175, 198
176, 200
177, 201
178, 203
179, 204
180, 206
181, 207
182, 209
183, 210
184, 212
185, 213
186, 215
187, 216
188, 218
189, 219
190, 221
191, 222
192, 224
193, 224
194, 225
195, 225
196, 226
197, 226
198, 227
199, 227
200, 228
201, 228
202, 229
203, 229
204, 230
205, 230
206, 231
207, 231
208, 232
209, 232
210, 233
211, 233
212, 234
213, 234
214, 235
215, 235
216, 236
217, 236
218, 237
219, 237
220, 238
221, 238
222, 239
223, 239
224, 240
225, 240
226, 241
227, 241
228, 242
229, 242
230, 243
231, 243
232, 244
233, 244
234, 245
235, 245
236, 246
237, 246
238, 247
239, 247
240, 248
241, 248
242, 249
243, 249
244, 250
245, 250
246, 251
247, 251
248, 252
249, 252
250, 253
251, 253
252, 254
253, 254
254, 255
255, 255
